BiGG	SEED
MEOHtr	rxn10570
MEOHtrpp	rxn10570
METDabc	rxn05183
METDabcpp	rxn05183
EX_met__D_e	rxn08911
METDtex	rxn08911
METGL	rxn00456
METHFth	rxn34390
METHFtm	rxn34390
METHFtx	rxn34467
METOX	rxn00450
METSR_R2	rxn09941
METSRabc	rxn05614
METabc	rxn05219
METabcpp	rxn05219
METt2m	rxn09672
METt2r	rxn09672
METt3	rxn05615
METt3pp	rxn05615
EX_met__L_e	rxn08920
METt_h	rxn08920
METtec	rxn08920
METtex	rxn08920
METtm	rxn08920
SK_met__L_c	rxn08920
MEVK2	rxn09616
MEVK3	rxn09615
MEVK4	rxn09614
MG2abc	rxn08924
MG2uabcpp	rxn08924
EX_mg2_e	rxn05616
MG2tex	rxn05616
MG2th	rxn05616
MG2tpp	rxn05616
MG2tu	rxn05616
MGt5	rxn05616
MG2t3_2pp	rxn08921
MGCH	rxn01504
MGCHrm	rxn01504
MGDGD4DS1819Z1644Z7Z10Z13Z	rxn34968
MGDGD4DS1829Z12Z1634Z7Z10Z	rxn34969
MGDGD4DS1829Z12Z1644Z7Z10Z13Z	rxn34970
MGDGD4DS1839Z12Z15Z1634Z7Z10Z	rxn34971
MGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z	rxn34972
MGDGD7DS1819Z1617Z	rxn34973
MGDGD7DS1829Z12Z1617Z	rxn34974
MGDGW3DS1819Z1637Z10Z13Z	rxn34977
MGDGW3DS1829Z12Z1637Z10Z13Z	rxn34978
MGDGW3DS1829Z12Z1644Z7Z10Z13Z	rxn34979
MGDGW3DS1839Z12Z15Z160	rxn34980
MGDGW3DS1839Z12Z15Z1627Z10Z	rxn34981
MGDGW3DS1839Z12Z15Z1634Z7Z10Z	rxn34982
MGDGW3DS1839Z12Z15Z1637Z10Z13Z1	rxn34983
MGDGW3DS1839Z12Z15Z1637Z10Z13Z2	rxn34984
MGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z1	rxn34985
MGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z2	rxn34986
MGDGW6DS1819Z1627Z10Z	rxn34987
MGDGW6DS1829Z12Z160	rxn34988
MGDGW6DS1829Z12Z1617Z	rxn34989
MGDGW6DS1829Z12Z1619Z	rxn34990
MGDGW6DS1829Z12Z1627Z10Z1	rxn34991
MGDGW6DS1829Z12Z1627Z10Z2	rxn34992
MGDGW6DS1829Z12Z1637Z10Z13Z	rxn34993
MGDGW6DS1829Z12Z1644Z7Z10Z13Z	rxn34994
MGSA	rxn00748
MGSAc	rxn00748
MHISOR	rxn03195
MI1345PKn	rxn13344
MI134P4P	rxn21261
MI134PK	rxn02457
MI134PP	rxn02455
MI145PK	rxn02460
MI145PKn	rxn02460
MI145PP	rxn02435
MITPn	rxn02435
MI145Ptn	rxn13345
SK_mi145p_c	rxn13345
MI14PP	rxn02434
MINOHPKn	rxn13385
PMI12346PS	rxn13385
DM_minohp_c	rxn08925
EX_minohp_e	rxn08925
MINOHPtexi	rxn08925
MINOHPtn	rxn08925
MITKP	rxn02461
MLTG1	rxn05746
MLTG1e	rxn05746
MLTG1ly	rxn05746
HMR_8579	rxn08933
MLTG2	rxn08933
RE0915E	rxn08933
MLTG3	rxn08934
RE0926E	rxn08934
MLTG4	rxn08935
RE0935E	rxn08935
EX_mlthf_e	rxn09737
MLTHFte3	rxn09737
MLTHFtm	rxn09737
MLTHFte	rxn34512
MLTHFtm_1	rxn34512
MM1	rxn35307
MM2	rxn35308
MM3	rxn35249
MMAMT	rxn16844
MME	rxn01996
MMEm	rxn01996
MMM2	rxn00602
MMMm	rxn00602
MMSAD1	rxn00671
MMSAD1m	rxn00671
MMSAD2	rxn09944
MMSAD3	rxn00501
MMSAD3m	rxn00501
MMSDH	rxn15094
MMTSAO	rxn15094
MMTSADm	rxn02424
MN2t3pp	rxn08946
EX_mn2_e	rxn08947
MN2tipp	rxn08947
MN2tpp	rxn08947
MNtex	rxn08947
MNDNS1	rxn10848
MNDNS2	rxn10844
MNabc	rxn05149
MNabc_1	rxn05149
MNt2	rxn05618
MNt2pp	rxn05618
MOBDabc	rxn05619
MOBDabcpp	rxn05619
EX_mobd_e	rxn08956
MOBDtex	rxn08956
MOHMT	rxn00912
MTMOHT	rxn00912
MOX	rxn00264
MPBQ	rxn07332
MPQMT	rxn07332
MPTAT	rxn16574
MSAR	rxn16149
MSO3abc	rxn05621
MSO3abcpp	rxn05621
EX_mso3_e	rxn08960
MSO3tex	rxn08960
MSULR	rxn12780
MTAP	rxn01022
MTCMMT	rxn10574
MTHFC	rxn01211
MTHFC_1	rxn01211
MTHFCm	rxn01211
MTHFCm_1	rxn01211
MTHFCx	rxn01211
MTHFD	rxn00907
MTHFD_1	rxn00907
MTHFDm	rxn00907
MTHFDm_1	rxn00907
MTHFD2	rxn00906
MTHFD2i	rxn00906
MTHFD2m	rxn00906
EX_mthgxl_e	rxn33744
MTHGXLt	rxn33744
MTHTHFSs	rxn20808
MTRI	rxn03057
MYC1CYC1	rxn10631
MYC1CYC2	rxn10662
MYC1CYC3	rxn10640
MYC1CYC4	rxn10655
MYC1CYC5	rxn10660
MYC1M1	rxn10649
MYC1M2	rxn10632
MYC2CYC1	rxn10641
MYC2CYC2	rxn10629
MYC2CYC3	rxn10668
MYCFLUX1	rxn10659
MYCFLUX2	rxn10635
MYCFLUX3	rxn10642
MYCFLUX4	rxn10648
MYCFLUX5	rxn10652
MYCON1	rxn10669
MYCON2	rxn10646
MYCON3	rxn10637
MYCON4	rxn10657
MYCON5	rxn10650
EX_m_xyl_e	rxn12804
M_XYLtpp	rxn12804
M_Xylt1	rxn12804
NADPPPS	rxn00088
NADPPPSm	rxn00088
NA1ATPaseh	rxn05622
NA1ATPasem	rxn05622
NAabcO	rxn05622
NA1Hth	rxn05209
NA1Htm	rxn05209
NAt3_1	rxn05209
NAt3_1g	rxn05209
NAt3pp	rxn05209
DM_na1_c	rxn08985
DM_na1_g	rxn08985
DM_na1_h	rxn08985
DM_na1_m	rxn08985
DM_na1_r	rxn08985
DM_na1_x	rxn08985
EX_na1_e	rxn08985
NA1th	rxn08985
NA1tm	rxn08985
NAt	rxn08985
NAtex	rxn08985
NAtx	rxn08985
NABTNO	rxn03423
NABTNOm	rxn03423
EX_nac_e	rxn05310
NACt	rxn05310
NACtex	rxn05310
NACtpp	rxn05310
NACHORCTL3le	rxn12806
NACt1pp	rxn12806
NACHY	rxn12747
NACODA	rxn08968
NADH10	rxn08971
NADH16	rxn08972
NADH16pp	rxn08972
NADH17pp	rxn08973
NADH18pp	rxn08974
NADH4	rxn36889
NADH5	rxn08975
NADHOR	rxn08975
NADH6	rxn10122
NADH7	rxn10123
NADH8	rxn10124
NADH9	rxn08976
NADHPO	rxn00066
NADH_h_tx	rxn34247
EX_nadh_e	rxn29785
NADHth	rxn29785
NADHtm	rxn29785
NADHtpu	rxn29785
NADHtru	rxn29785
NADHts	rxn29785
NADtpu	rxn29785
NADK	rxn00077
NADK_1	rxn00077
NADK_h	rxn00077
NADKm	rxn00077
NADK1	rxn10056
NADK2	rxn10057
NADK3	rxn10058
NADK4	rxn10059
NADK5	rxn10060
NADKd	rxn10060
NADPHQR2	rxn08977
NADPH_u8m	rxn08977
NADPHQR3	rxn08978
NADPHQR4	rxn08979
NADPHtf	rxn33186
NADPHth	rxn33186
NADPHtru	rxn33186
NADPHts	rxn33186
NADPHtu	rxn33186
NADPHtxu	rxn33186
EX_nadp_e	rxn13360
NADPt	rxn13360
NADPt2_c	rxn13360
NADPtf	rxn13360
NADPth	rxn13360
NADPtru	rxn13360
NADPts	rxn13360
NADPtu	rxn13360
NADPtxu	rxn13360
SK_nadp_c	rxn13360
NADS1	rxn00138
NADS1_1	rxn00138
NADS1m	rxn00138
NADS1n	rxn00138
NADTRHD	rxn00083
NADTRHD2	rxn00083
NNOR	rxn00083
THD1_h	rxn00083
NAD_H2	rxn05887
EX_nad_e	rxn13361
NADth	rxn13361
NADtm	rxn13361
NADtn	rxn13361
NADtru	rxn13361
NADts	rxn13361
NADtx	rxn13361
SK_nad_c	rxn13361
NAKtr	rxn10820
Nat_Kpp	rxn10820
NAMNPP	rxn08981
NAMPRT	rxn01265
NAPRT	rxn01265
NAPRTm	rxn01265
NAPT	rxn00941
NMNS	rxn00941
NMNSn	rxn00941
DM_no2_c	rxn08999
EX_no2_e	rxn08999
NARK	rxn08999
NO2tex	rxn08999
NO2th	rxn08999
NO2tmt	rxn08999
NAt3_15	rxn08982
NAt3_1p5pp	rxn08982
NAt3_2	rxn08983
NAt3_2pp	rxn08983
NBAH	rxn01037
DM_ncam_c	rxn10867
EX_ncam_e	rxn10867
NCAMUP	rxn10867
NDP3	rxn00236
NDP3ex	rxn00236
NDP3g	rxn00236
NDP6	rxn01221
NDP7	rxn00116
NDP7er	rxn00116
NDP7ex	rxn00116
NDP7g	rxn00116
NDP8	rxn36935
NDP8ex	rxn00120
NTP7	rxn00120
NDPK2	rxn00117
NDPK2m	rxn00117
NDPK2n	rxn00117
NDPK3	rxn00409
NDPK3m	rxn00409
NDPK3n	rxn00409
NDPK4	rxn01512
NDPK4m	rxn01512
NDPK4n	rxn01512
NDPK6	rxn01678
NDPK6m	rxn01678
NDPK6n	rxn01678
NDPK7	rxn01673
NDPK7m	rxn01673
NDPK7n	rxn01673
NDPK8	rxn00839
NDPK8m	rxn00839
NDPK8n	rxn00839
NFMLDF	rxn12748
NFORGLUAH	rxn00375
NFORGLUAH2	rxn00375
NH4OHDs	rxn10772
EX_nh4_e	rxn05466
NH4t	rxn05466
NH4tex	rxn05466
NH4ti	rxn05466
NH4tm	rxn05466
NH4tn	rxn05466
NH4tp	rxn05466
NH4tpp	rxn05466
NH4tr	rxn05466
NH4t3pp	rxn29256
NH4t3r	rxn29256
NH4t4	rxn10868
NH4t4pp	rxn10868
NH4t_1	rxn11158
NH4th	rxn11158
NH4tm_1	rxn11158
NH4tpp_1	rxn11158
NI2abcpp	rxn08989
NI2t3pp	rxn08990
EX_ni2_e	rxn08991
NI2tex	rxn08991
NI2tpp	rxn08991
NIt5	rxn08991
NI2uabcpp	rxn05174
NIabc	rxn05174
NICRNS	rxn02401
EX_nifedipine_e	rxn33121
EX_tststerone_e	rxn33121
NIFEDIPINEte	rxn33121
TSTSTERONEt	rxn33121
TSTSTERONEtr	rxn33121
NMNDA	rxn01669
NMNHYD	rxn01670
NMNHYD_1	rxn01670
NMNR	rxn01670
EX_nmn_e	rxn08995
HMR_4266	rxn08995
NMNP	rxn08995
NMNPtpp	rxn08995
NMNtex	rxn08995
NMNtn	rxn08995
NMNTP	rxn09670
NMNt2m	rxn09670
NMNt2p	rxn09670
NMNt7	rxn08996
NMNt7pp	rxn08996
NMPTRCOX	rxn02828
NN5HBPRT	rxn10582
NNAM	rxn00938
NNAMrm	rxn00938
NNATm	rxn02155
NNATn	rxn02155
NNATr	rxn02155
NNDMBRT	rxn02897
NNDPR	rxn02402
NNDPRm	rxn02402
NNMT	rxn00939
NO	rxn10795
NO2R	rxn05893
NOR_syn	rxn05893
NTRIRfx	rxn05893
NO2t2r	rxn05625
NO2t2rpp	rxn05625
NO2t3	rxn05626
NO3R1bpp	rxn09000
NO3R2bpp	rxn09002
NO3abc	rxn05171
NO3abcpp	rxn05171
DM_no3_c	rxn09005
EX_no3_e	rxn09005
NO3t	rxn09005
NO3tex	rxn09005
NO3tmt	rxn09005
NO3t2	rxn05627
NO3t2pp	rxn05627
NO3t3	rxn10977
NO3t7	rxn09004
NO3t7pp	rxn09004
DM_no_h	rxn09008
EX_no_e	rxn09008
NOt	rxn09008
NOtex	rxn09008
NOtpp	rxn09008
SK_no_c	rxn09008
NOPD	rxn00403
NORANMT	rxn01837
NOS	rxn05859
EX_novbcn_e	rxn46935
NOVBCNtex	rxn46935
NOX	rxn04957
NP1	rxn01647
NP1_1	rxn01647
NPPDO	rxn00019
NT5C	rxn02400
NTD1	rxn01521
NTD1_1	rxn01521
NTD1m	rxn01521
NTD1pp	rxn01521
NTD10	rxn01961
NTD10pp	rxn01961
NTD11	rxn00831
NTD11pp	rxn00831
NTD12	rxn09010
NTD12pp	rxn09010
NTD2	rxn00708
NTD2e	rxn00708
NTD2l	rxn00708
NTD2m	rxn00708
NTD2pp	rxn00708
NTD3	rxn01218
NTD3l	rxn01218
NTD3pp	rxn01218
NTD4	rxn00363
NTD4e	rxn00363
NTD4l	rxn00363
NTD4pp	rxn00363
NTD5	rxn01145
NTD5l	rxn01145
NTD5m	rxn01145
NTD5pp	rxn01145
NTD6	rxn01507
NTD6l	rxn01507
NTD6pp	rxn01507
NTD7	rxn00132
NTD7e	rxn00132
NTD7l	rxn00132
NTD7pp	rxn00132
r0047	rxn00132
NTP12	rxn09012
NTP2	rxn10583
NTP3	rxn00241
NTP3e	rxn00241
NTP3pp	rxn00241
NTP4	rxn09516
NTP5	rxn00408
r0149	rxn00408
NTP6	rxn10584
NTP8	rxn01677
NTP9	rxn01514
r0497	rxn01514
NTPP11	rxn01962
NTPP11_1	rxn01962
NTPP2	rxn00301
NTPP2_1	rxn00301
NTPP4	rxn00367
NTPP8	rxn00463
NTPP8_1	rxn00463
r0166	rxn00463
NTPP9	rxn00514
NTPP9_1	rxn00514
NTPTP1	rxn01352
NTPTP2	rxn09016
NTRIR2y	rxn00569
NTRIR_h	rxn00569
NTRIR3pp	rxn09018
NTRIR4pp	rxn09019
NTRIRx	rxn13808
NTRIRy	rxn14395
NTRLASE	rxn02219
NaKt	rxn18910
NaKt_1	rxn10578
EX_o16a4colipa_e	rxn09020
O16A4COLIPAtex	rxn09020
O16AT	rxn09025
EX_o2s_e	rxn09030
O2St	rxn09030
O2Stex	rxn09030
O2Stl	rxn09030
O2Stm	rxn09030
O2Stn	rxn09030
O2Stx	rxn09030
EX_o2_e	rxn05468
O2t	rxn05468
O2tcx	rxn05468
O2ter	rxn05468
O2tex	rxn05468
O2thr	rxn05468
O2tl	rxn05468
O2tm	rxn05468
O2tn	rxn05468
O2tp	rxn05468
O2tpp	rxn05468
O2trhu	rxn05468
O2tu	rxn05468
OAAAKGtm	rxn34517
OAACITtm	rxn34518
OAADC	rxn00162
OAADCm	rxn00162
OAADCS	rxn30509
OAAICITtm	rxn34519
EX_oaa_e	rxn13365
HMR_9680	rxn13365
OAAt	rxn13365
OAAtex	rxn13365
OAAtf	rxn13365
OAtm1	rxn13365
OAAt2m	rxn09733
OAAt_1	rxn09733
OACT	rxn30505
OAO5t3pp	rxn30506
OARGDC	rxn02274
OBDHc	rxn12777
OBDHm	rxn12777
OBTFL	rxn04794
PCFPTh	rxn04794
PCFPTm	rxn04794
OCAALD	rxn12707
OCBT	rxn01019
OCBT2i	rxn01019
OCBT_1	rxn01019
OCBT_2	rxn01019
OCBTm	rxn01019
OCT	rxn01019
OCTh	rxn01019
OCTm	rxn01019
OCCOAtm	rxn31604
OCCOAtx	rxn31604
OCDCAFATPc	rxn08454
OCDCAt2	rxn10161
OCDCAt2pp	rxn10161
OCOAT1	rxn00290
OCOAT1m	rxn00290
OCTD	rxn10869
OCTDPS	rxn09037
ODECOAtx	rxn32522
SK_octdececoa_c	rxn32522
SK_odecoa_c	rxn32522
r1467	rxn32522
OGCOAAT	rxn03866
OHACT2	rxn13368
OHACT3	rxn13369
OHACT4	rxn13370
OHACT5	rxn13371
OHPBAT	rxn03445
OHPHM	rxn03395
OHPHMm	rxn03395
OHPHM6n	rxn09573
OIVD1m	rxn01207
OIVD1r	rxn01207
OIVD2	rxn00899
OIVD2m	rxn00899
OIVD3	rxn02269
OIVD3m	rxn02269
OMAHY	rxn12708
OMBZLM6m	rxn09572
OMCDC	rxn01208
OMCDCm	rxn01208
OMMBLHX6m	rxn09571
OMPDC	rxn00710
OMPHHX6m	rxn09570
OOR3r	rxn05939
OORr	rxn10585
OPHBDC	rxn03393
OPHBDCm	rxn03393
OPHHX	rxn09044
OPHHX3	rxn09045
OPHHX6	rxn09568
HMR_4422	rxn00470
ORDCh	rxn00470
ORNDC	rxn00470
ORNCD	rxn00471
ORNCD_2	rxn00471
ORNTA	rxn00467
ORNTA_1	rxn00467
ORNTArm	rxn00467
GACT_h	rxn01636
ORNTAC	rxn01636
ORNTAC_1	rxn01636
ORNTACim	rxn01636
ORNabc	rxn05156
ORNabcpp	rxn05156
EX_orn__L_e	rxn09048
EX_orn_e	rxn09048
ORNt	rxn09048
ORNt_h	rxn09048
ORNt_m	rxn09048
ORNtex	rxn09048
ORNtg	rxn09048
ORNt2	rxn05628
ORNt2r	rxn05628
ORNt3m	rxn09731
OROATP	rxn10978
OROTt2_2pp	rxn09049
EX_orot_e	rxn09050
OROTtex	rxn09050
orottm	rxn09050
r0839	rxn09050
ORPT	rxn01362
OXACOAL	rxn01135
OXADC	rxn00373
OXADCm	rxn00373
OXAGm	rxn01420
OXAMTC	rxn02104
OXCDC	rxn01395
OXFOt4pp	rxn27362
OXGDC	rxn00203
OXGDC2	rxn00442
OXO2Ctm	rxn09730
OXOAEL	rxn02144
OXPTNDH	rxn01729
P45011B11m	rxn26988
P45011B12m	rxn26986
HMR_1944	rxn26971
P45017A1r	rxn26971
P45017A2r_cho	rxn02443
RE1134C	rxn02443
RE1134M	rxn02443
HMR_1981	rxn26984
P45017A3r	rxn26984
P45017A4r_cho	rxn11740
RE1096C	rxn11740
RE1096M	rxn11740
HMR_2007	rxn26987
P45021A1r	rxn26987
HMR_1988	rxn26985
P45021A2r	rxn26985
P45027A13m	rxn14149
P4502E1	rxn41768
P4503A4	rxn01811
P4503A43r	rxn01811
P4503A5	rxn16245
P4507B11r	rxn04988
HMR_1765	rxn03499
P4507B12r	rxn03499
RE1803C	rxn03499
HMR_1781	rxn01061
P450SCC1m	rxn01061
P5CD	rxn00503
P5CDm	rxn00503
P5CR	rxn00931
P5CR_1	rxn00931
P5CRm	rxn00931
PRO1y	rxn00931
P5CR2	rxn00929
P5CRx	rxn00929
P5CRxm	rxn00929
PRO1x	rxn00929
PRO1xm	rxn00929
PA120abcpp	rxn09053
PA141abcpp	rxn09055
PA161abcpp	rxn09057
PA181abcpp	rxn09059
PABB	rxn03840
EX_pacald_e	rxn09061
PACALDt	rxn09061
PACALDtex	rxn09061
PACALDtm	rxn09061
PACALDt2rpp	rxn09060
PACCOAE	rxn16679
PACOAL	rxn34756
PAIL18111Z160t	rxn34427
PAIL1819Z160t	rxn34428
PALAt2	rxn05629
PALDH	rxn00537
PALFATPtc	rxn08452
PAN4PP	rxn40478
PAN4PPe	rxn40478
EX_pan4p_e	rxn09729
PAN4Ptm	rxn09729
PANTS	rxn01791
PANTS_1	rxn01791
PANTS_m	rxn01791
PBAL	rxn01791
PBALm	rxn01791
PANTtm	rxn09728
PAPA120	rxn09062
PAPA120pp	rxn09062
PAPA141	rxn09064
PAPA141pp	rxn09064
PAPA160	rxn20572
PAPA160h	rxn20572
PAPA160pp	rxn20572
PAPA16018111Z	rxn34995
PAPA161	rxn09066
PAPA161pp	rxn09066
PAPA_HDE_HDE_h	rxn09066
PAPA1801819Z	rxn34999
PAPA1801819Zh	rxn34999
PAPA181	rxn09068
PAPA181pp	rxn09068
PAPA18111Z160h	rxn35002
PAPA18111Z1819Z	rxn35003
PAPA18111Z1819Zh	rxn35003
PAPA1819Z160h	rxn35005
PAPA_OLE_PALM	rxn35005
PAPA1819Z1619Zh	rxn35006
PAPA_OLE_HDE	rxn35006
PAPA1819Z18111Z	rxn35007
PAPA1819Z18111Zh	rxn35007
PAPA1819Z1819Z	rxn35009
PAPA1819Z1819Zh	rxn35009
PAPA181_1	rxn35001
PAPSPAPthr	rxn34395
PAPSSH	rxn00359
PAPSTYRST	rxn35445
PAPSitr	rxn32662
PAPSt_h	rxn32662
PAPStg	rxn32662
EX_pap_e	rxn09665
PAPitr	rxn09665
PAPt	rxn09665
PAPtg	rxn09665
PAPtm	rxn09665
SK_pap_c	rxn09665
EX_pa_hs_e	rxn13123
PA_HSter	rxn13123
PA_HStg	rxn13123
PA_HStm	rxn13123
PA_HStn	rxn13123
PC	rxn00250
PCm	rxn00250
PYC_h	rxn00250
PCADYOX	rxn01192
PCNO	rxn00668
PCNOn	rxn00668
PCPPTh	rxn00670
PCPPTm	rxn00670
PTA2	rxn00670
PDC	rxn00544
PDCh	rxn00544
PDCm	rxn00544
PDH	rxn00154
PDHapi	rxn00154
PDHm	rxn00154
ACLSa	rxn00011
PDHam1hi	rxn00011
PDHam1m	rxn00011
PDHam1mi	rxn00011
EX_pdima_e	rxn10837
PDIMAT	rxn10837
PDX5PO2	rxn09071
PDX5POi	rxn00209
PDX5PS	rxn09072
PDXPP	rxn01398
PE160abcpp	rxn09076
PE1801819Zt	rxn34429
PE1801829Z12Zt	rxn34430
PE1801835Z9Z12Zt	rxn34431
PE1801845Z9Z12Z15Zt	rxn34432
PE18111Z1819Zt	rxn34433
PE18111Z1829Z12Zt	rxn34434
PE18111Z1835Z9Z12Zt	rxn34435
PE18111Z1845Z9Z12Z15Zt	rxn34436
PE1819Z1829Z12Zt	rxn34438
PE1819Z1835Z9Z12Zt	rxn34439
PE1819Z1845Z9Z12Z15Zt	rxn34440
PE1829Z12Z1835Z9Z12Zt	rxn34441
PEAMNO	rxn01903
PEAMNOpp	rxn01903
EX_peamn_e	rxn09080
PEAMNtex	rxn09080
PED5DS1801835Z9Z12Z	rxn35011
PED5DS18111Z1835Z9Z12Z	rxn35012
PED5DS1819Z1835Z9Z12Z	rxn35013
PEDS1801829Z12Z	rxn35014
PEDS1801845Z9Z12Z15Z	rxn35015
PEDS18111Z1829Z12Z	rxn35016
PEDS18111Z1845Z9Z12Z15Z	rxn35017
PEDS1819Z1845Z9Z12Z15Z	rxn35019
PEDS1829Z12Z1835Z9Z12Z	rxn35020
EX_pentso3_e	rxn12809
PENTSOtex	rxn12809
PEPCK_re	rxn00305
PEPCKm	rxn00305
PEPPIth	rxn30513
PEPt6pp	rxn30513
PPTPt_x	rxn30513
PEPt6	rxn05630
EX_pep_e	rxn27360
PEPt	rxn27360
PEPtex	rxn27360
PERD	rxn02939
PETHCT	rxn01479
DM_pe_hs_c	rxn09704
DM_pe_hs_r	rxn09704
EX_pe_hs_e	rxn09704
PEHSFABPe	rxn09704
PE_HSter	rxn09704
PE_HStg	rxn09704
PE_HStm	rxn09704
PEt	rxn09704
PFK	rxn00545
PFKg	rxn00545
PFK_adp	rxn04043
PFK_ppi	rxn00551
PFL	rxn00157
PFLACTm	rxn00157
PFLh	rxn00157
PG18111Z160t	rxn34442
PG1819Z160t	rxn34443
PGAM1_PhosHydro	rxn00153
PGAMT	rxn01485
PGCD	rxn01101
PGLYDH	rxn01101
SERA_m	rxn01101
PGD3TDS18111Z1613E	rxn35169
PGD3TDS1819Z1613E	rxn35170
PGD3TDS1829Z12Z1613E	rxn35171
PGD3TDS1839Z12Z15Z1613E	rxn35172
PGISr	rxn01624
PGK	rxn01100
PGKf	rxn01100
PGKg	rxn01100
PGKh	rxn01100
PGKm	rxn01100
PGL	rxn01476
PGLc	rxn01476
PGLer	rxn01476
PGLg	rxn01476
PGLh	rxn01476
PGLCNDH	rxn01475
PGLCNDH_1	rxn01475
PGLS	rxn10703
PGLYCP	rxn00980
PGLYCP_1	rxn00980
PGLYCPh	rxn00980
PGLYCPx	rxn00980
PGAM_h	rxn01106
PGM	rxn01106
PGMf	rxn01106
PGMm	rxn01106
PGMT_B	rxn01967
PGP120abcpp	rxn09094
PGP140abcpp	rxn09095
PGP141abcpp	rxn09096
PGP18111Z160t	rxn34444
PGP1819Z160t	rxn34445
PGP181abcpp	rxn09100
PGPP160190	rxn10676
PGPP18111Z160	rxn35173
PGPP18111Z160h	rxn35173
PGPP1819Z160	rxn35175
PGPP1819Z160h	rxn35175
PGPP_OLE_PALM	rxn35175
PGPP_OLE_PALM_h	rxn35175
PGPP190	rxn10714
PGPP_HP	rxn10989
PGPS18111Z160	rxn35177
PGPS18111Z160h	rxn35177
PGPS1819Z160	rxn35179
PGPS1819Z160h	rxn35179
PGPS_OLE_PALM	rxn35179
PGPS_OLE_PALM_h	rxn35179
PGSA120	rxn09108
PGSA160190	rxn10694
PGSA190	rxn10704
PGSA_HP	rxn10949
PGW3DS1839Z12Z15Z160	rxn35181
PGW6DS1829Z12Z160	rxn35182
PHA	rxn12766
PHACCOAGLNAC	rxn01878
GCN5	rxn04073
PHACCOAGLYACm	rxn04073
PHACGLYc	rxn04073
PHACOAOR	rxn12776
PACOAT	rxn16681
PHACTE	rxn16681
PHCHGS	rxn03070
PHCHGSm	rxn03070
EX_phdca_e	rxn10819
PHDCAt	rxn10819
EX_pheac_e	rxn13377
PHEACt	rxn13377
EX_phenol_e	rxn39188
PHENOLtex	rxn39188
PHEPC	rxn03882
EX_phe__L_e	rxn09118
PHEtec	rxn09118
PHEtex	rxn09118
PHEth	rxn09118
PHEtipp	rxn09118
SK_phe__L_c	rxn09118
PHOMSELCYSL	rxn06820
PHOMSELCYSLh	rxn06820
PHTHCLR1	rxn10847
PHTHCLR2	rxn10850
PHTHCLS	rxn10849
PHTHDLS	rxn10762
PHTHDLS2	rxn10744
PHTHS2	rxn10691
PHTO	rxn10843
PHYCBOXL	rxn00497
PHYHx	rxn03988
PHYTSpp	rxn09119
PIACGT	rxn17556
EX_pime_e	rxn10979
PIMEtr	rxn10979
PINA1th	rxn05210
PINA1tm	rxn05210
r2136	rxn05210
r2506	rxn05210
PIabc	rxn05145
PIuabcpp	rxn05145
PIt2m	rxn05312
PIt2n	rxn05312
PIt2p	rxn05312
PIt2r	rxn05312
PIt2rpp	rxn05312
PIt2v	rxn05312
PIt_h	rxn05312
PItf	rxn05312
PIt7	rxn05313
PIt7ipp	rxn05313
PLDAGAT16018111Z1602	rxn35022
PLDAGAT1601819Z1602	rxn35031
PLDAGAT18111Z18111Z18111Z3	rxn35052
PLDAGAT18111Z1819Z18111Z3	rxn35061
PLDAGAT1819Z18111Z1819Z2	rxn35072
PLDAGAT1819Z18111Z1819Z4	rxn35074
PLDAGAT1819Z1819Z1819Z2	rxn35081
PLDAGAT1819Z1819Z1819Z4	rxn35083
PLIPA1A120pp	rxn09123
PLIPA1E160	rxn09133
PLIPA1E160pp	rxn09133
PLIPA2A120pp	rxn09144
PLPSA218111Z1819Z	rxn35187
PLPSA218111Z1835Z9Z12Z	rxn35189
PLPSA218111Z1845Z9Z12Z15Z	rxn35190
PLPSA21819Z1835Z9Z12Z	rxn35193
PLPSA21819Z1845Z9Z12Z15Z	rxn35194
PLPSA21829Z12Z1835Z9Z12Z	rxn35195
PLPSD1801819Z	rxn35196
PLPSD1801829Z12Z	rxn35197
PLPSD1801835Z9Z12Z	rxn35198
PLPSD1801845Z9Z12Z15Z	rxn35199
PLPSD18111Z1819Z	rxn35200
PLPSD18111Z1829Z12Z	rxn35201
PLPSD18111Z1835Z9Z12Z	rxn35202
PLPSD18111Z1845Z9Z12Z15Z	rxn35203
PLPSD1819Z1829Z12Z	rxn35205
PLPSD1819Z1835Z9Z12Z	rxn35206
PLPSD1819Z1845Z9Z12Z15Z	rxn35207
PLPSD1829Z12Z1835Z9Z12Z	rxn35208
PMI12346PH	rxn04030
PMI12346PHn	rxn04030
PMPK	rxn03108
PMPK_h	rxn03108
DM_pmtcoa_r	rxn31566
PMTCOAFABP1tc	rxn31566
PMTCOAFABP1tc_1	rxn31566
PMTCOAth	rxn31566
PMTCOAtm	rxn31566
PMTCOAts	rxn31566
PMTCOAtx	rxn31566
SK_pmtcoa_c	rxn31566
PNCDC	rxn02129
PNCDC_1	rxn02129
r0580	rxn02129
PNP	rxn01646
PNP_1	rxn01646
PNTEH	rxn02130
PNTEHe	rxn02130
PNTK	rxn12510
PNTK_1	rxn12510
PNTKm	rxn12510
DM_pnto__R_c	rxn09166
EX_pnto__R_e	rxn09166
